label,category,manhattan+chi-squared_topk_pct,manhattan+emd_topk_pct,manhattan+kullback-leibler_topk_pct
Car/m1508_rm.obj,Car,20.0,10.0,20.0
Car/m1503_rm.obj,Car,0.0,0.0,0.0
Car/m1506_rm.obj,Car,20.0,10.0,20.0
Car/m1490_rm.obj,Car,0.0,20.0,10.0
Car/m1495_rm.obj,Car,30.0,30.0,40.0
Car/m1498_rm.obj,Car,90.0,60.0,90.0
Car/m1523_rm.obj,Car,100.0,90.0,100.0
Car/m1512_rm.obj,Car,10.0,0.0,0.0
Car/m1524_rm.obj,Car,70.0,60.0,80.0
Car/m1499_rm.obj,Car,0.0,30.0,10.0
Car/m1526_rm.obj,Car,90.0,80.0,90.0
Car/m1528_rm.obj,Car,70.0,50.0,70.0
Car/m1532_rm.obj,Car,30.0,30.0,40.0
Car/m1518_rm.obj,Car,100.0,90.0,100.0
Car/m1517_rm.obj,Car,100.0,50.0,100.0
Car/m1519_rm.obj,Car,90.0,70.0,90.0
Car/m1507_rm.obj,Car,20.0,10.0,30.0
Car/m1521_rm.obj,Car,90.0,50.0,60.0
Car/m1504_rm.obj,Car,10.0,10.0,20.0
Car/m1522_rm.obj,Car,100.0,90.0,100.0
Car/m1538_rm.obj,Car,100.0,80.0,100.0
Car/m1536_rm.obj,Car,80.0,50.0,70.0
Car/m1540_rm.obj,Car,100.0,60.0,70.0
Car/m1511_rm.obj,Car,30.0,30.0,20.0
Car/m1525_rm.obj,Car,30.0,60.0,40.0
Car/m1531_rm.obj,Car,70.0,70.0,80.0
Car/m1547_rm.obj,Car,30.0,0.0,30.0
Car/m1516_rm.obj,Car,80.0,70.0,90.0
Car/m1533_rm.obj,Car,80.0,60.0,70.0
Car/m1542_rm.obj,Car,40.0,20.0,20.0
Car/m1539_rm.obj,Car,100.0,60.0,20.0
Car/m1552_rm.obj,Car,90.0,80.0,100.0
Car/m1546_rm.obj,Car,30.0,40.0,50.0
Car/m1529_rm.obj,Car,80.0,70.0,80.0
Car/m1530_rm.obj,Car,80.0,60.0,90.0
Car/m1545_rm.obj,Car,60.0,40.0,70.0
Car/m1527_rm.obj,Car,90.0,30.0,80.0
Car/m1548_rm.obj,Car,50.0,30.0,50.0
Car/m1550_rm.obj,Car,100.0,100.0,90.0
Car/m1543_rm.obj,Car,100.0,80.0,90.0
Car/m1563_rm.obj,Car,0.0,0.0,0.0
Car/m1562_rm.obj,Car,0.0,0.0,0.0
Car/m1535_rm.obj,Car,40.0,20.0,40.0
Cellphone/D00018_rm.obj,Cellphone,0.0,0.0,0.0
Cellphone/D00192_rm.obj,Cellphone,40.0,30.0,20.0
Car/m1555_rm.obj,Car,20.0,10.0,0.0
Car/m1544_rm.obj,Car,20.0,20.0,10.0
Car/m1557_rm.obj,Car,30.0,50.0,40.0
Cellphone/D00312_rm.obj,Cellphone,0.0,0.0,0.0
Car/m1561_rm.obj,Car,0.0,0.0,0.0
Car/m1559_rm.obj,Car,0.0,30.0,10.0
Car/m1560_rm.obj,Car,0.0,0.0,0.0
Cellphone/D00369_rm.obj,Cellphone,20.0,30.0,20.0
Car/m1553_rm.obj,Car,80.0,60.0,80.0
Cellphone/D00440_rm.obj,Cellphone,10.0,0.0,10.0
Car/m1551_rm.obj,Car,90.0,40.0,50.0
Cellphone/D00079_rm.obj,Cellphone,0.0,0.0,0.0
Cellphone/D00848_rm.obj,Cellphone,30.0,30.0,30.0
